,date
101," Tuesday, April 5, 2016 4:22:48 PM"
102," Wednesday, February 3, 2016 11:25:44 AM"
103," Tuesday, February 2, 2016 8:19 PM"
104," Tuesday, February 2, 2016 8:19:19 PM"
105," Wednesday, June 1, 2016 3:23:31 PM"
106," Tuesday, June 21, 2016 1:36:06 PM"
107," Tuesday, June 21, 2016 1:12 PM"
108," Tuesday, June 21, 2016 1:08 PM"
109," Friday, April 8, 2016 4:20:36 PM"
110," Friday, April 8, 2016 4:20 PM"
111," Friday, April 8, 2016 4:17 PM"
112," Friday, April 08, 2016 4:05 PM"
113," Friday, April 8, 2016 4:06 PM"
114," Friday, April 08, 2016 4:02 PM"
115," Friday, April 8, 2016 4:02 PM"
116," Friday, April 08, 2016 3:58 PM"
117," Friday, April 8, 2016 3:51 PM"
118," Friday, April 08, 2016 3:24 PM"
119," Friday, April 8, 2016 2:55 PM"
120," Friday, April 08, 2016 2:54 PM"
121," Friday, April 08, 2016 2:45 PM"
122," Friday, April 8, 2016 4:05:09 PM"
123," Friday, April 8, 2016 4:01:49 PM"
124," Friday, April 8, 2016 3:58:26 PM"
125," Friday, April 8, 2016 3:24:22 PM"
126," Friday, April 8, 2016 2:54:58 PM"
127," Friday, April 8, 2016 2:54:57 PM"
128," Friday, June 10, 2016 11:09:31 AM"
129," Friday, June 10, 2016 9:21 AM"
130," Friday, June 10, 2016 11:09:29 AM"
131," Friday, June 10, 2016 9:21:11 AM"
132," Friday, June 10, 2016 9:21:08 AM"
133," Wednesday, December 14, 2016 12:08:08 PM"
134," Wednesday, December 14, 2016 12:08:06 PM"
135," Tuesday, October 4, 2016 10:52:33 AM"
136," Tuesday, October 04, 2016 10:08 AM"
137," Tuesday, October 04, 2016 10:01 AM"
138," Tuesday, October 04, 2016 9:30 AM"
139," Tuesday, October 4, 2016 10:00:04 AM"
140," Tuesday, October 4, 2016 9:30:17 AM"
141," Tuesday, May 3, 2016 11:47:01 AM"
142," Tuesday, October 25, 2016 1:31:16 PM"
143," Tuesday, October 25, 2016 12:59 PM"
144," Tuesday, October 25, 2016 1:31:00 PM"
145," Tuesday, October 25, 2016 1:21:57 PM"
146," Tuesday, October 25, 2016 1:21:00 PM"
147," Tuesday, October 25, 2016 1:19:09 PM"
148," Tuesday, October 25, 2016 1:19:00 PM"
149," Tuesday, October 25, 2016 12:59:05 PM"
150," Thursday, March 10, 2016 12:56:47 PM"
151," Thursday, March 10, 2016 12:56:00 PM"
152," Tuesday, June 7, 2016 3:00:48 PM"
153," Tuesday, June 7, 2016 1:01 PM"
154," Tuesday, June 07, 2016 12:33 PM"
155," Tuesday, June 7, 2016 11:31 AM"
156," Tuesday, June 7, 2016 3:00:44 PM"
157," Tuesday, June 7, 2016 12:33:13 PM"
158," Tuesday, June 7, 2016 12:33:04 PM"
159," Thursday, May 26, 2016 9:39:59 AM"
160," Friday, May 13, 2016 11:26 AM"
161," Friday, May 13, 2016 11:24 AM"
162," Friday, May 13, 2016 8:22 AM"
163," Wed, 11 May 2016 15:11:14 -0400"
164," Wednesday, May 11, 2016 1:48 PM"
165," Tuesday, May 17, 2016 1:46:00 PM"
166," Tuesday, May 17, 2016 12:59 PM"
167," Tuesday, May 17, 2016 12:52 PM"
168," May 17, 2016 at 12:25:59 PM EDT"
169," Tuesday, May 17, 2016 1:45:58 PM"
170," Tuesday, May 17, 2016 12:59:16 PM"
171," Tuesday, May 17, 2016 12:59:15 PM"
172," Friday, May 13, 2016 11:26:51 AM"
173," Friday, May 13, 2016 11:26:49 AM"
174," Friday, May 13, 2016 11:26:00 AM"
175," Friday, May 13, 2016 11:23:51 AM"
176," Friday, May 13, 2016 11:23:37 AM"
177," Wednesday, May 11, 2016 3:11:30 PM"
178," Wednesday, May 11, 2016 3:11:15 PM"
179," Wednesday, May 11, 2016 1:48:38 PM"
180," Wednesday, May 11, 2016 1:48:36 PM"
181," Thursday, May 19, 2016 1:01:06 PM"
182," Thursday, May 19, 2016 12:54 PM"
183," Thursday, May 19, 2016 12:33:08 PM"
184," Wednesday, May 18, 2016 3:02 PM"
185," Wednesday, May 18, 2016 2:59:30 PM (UTC-05:00) Eastern Time (US & Canada)"
186," Wednesday, May 18, 2016 3:01 PM"
187," Thursday, May 19, 2016 1:01:03 PM"
188," Thursday, May 19, 2016 12:53:39 PM"
189," Thursday, May 19, 2016 12:53:36 PM"
190," Thursday, July 21, 2016 3:16:24 PM"
191," Thursday, July 21, 2016 1:30 PM"
192," Thursday, July 21, 2016 1:29:54 PM"
193," Thursday, December 22, 2016 11:22:55 AM"
194," Thursday, December 22, 2016 10:47 AM"
195," Thursday, December 22, 2016 10:44 AM"
196," Thursday, December 22, 2016 10:36 AM"
197," Thursday, December 22, 2016 11:22:53 AM"
198," Thursday, December 22, 2016 10:44:25 AM"
199," Thursday, December 22, 2016 10:44:23 AM"
200," Thursday, December 22, 2016 10:36:33 AM"
201," Thursday, December 22, 2016 10:36:30 AM"
202," Thursday, September 29, 2016 11:47:31 AM"
203," Wednesday, September 28, 2016 3:49 PM"
204," Wednesday, September 28, 2016 3:46 PM"
205," Wednesday, September 28, 2016 3:49:17 PM"
206," Wednesday, September 28, 2016 3:48:59 PM"
207," Wednesday, September 28, 2016 3:48:55 PM"
208," Wednesday, September 28, 2016 3:46:37 PM"
209," Thursday, August 11, 2016 2:20:10 PM"
210," Tuesday, August 9, 2016 10:21:40 AM"
211," Monday, August 8, 2016 4:33 PM"
212," Monday, August 8, 2016 4:32:41 PM"
213," Thursday, March 17, 2016 12:47:27 PM"
214," Thursday, March 17, 2016 12:30 PM"
215," Thursday, March 17, 2016 12:15 PM"
216," Thursday, March 17, 2016 11:44 AM"
217," Thursday, March 17, 2016 12:46:58 PM"
218," Tuesday, March 15, 2016 9:37:42 AM"
219," Tuesday, March 15, 2016 9:36:21 AM"
220," Thursday, January 28, 2016 1:25:39 PM"
221," Thursday, January 28, 2016 12:36 PM"
222," Thursday, January 28, 2016 1:25:38 PM"
223," Thursday, January 28, 2016 12:36:44 PM"
224," Thursday, January 28, 2016 12:36:10 PM"
225," Monday, January 25, 2016 2:30:57 PM"
226," Monday, January 25, 2016 2:01 PM"
227," Monday, January 25, 2016 2:30:56 PM"
228," Monday, January 25, 2016 2:02:07 PM"
229," Monday, January 25, 2016 2:02:05 PM"
230," Monday, January 4, 2016 10:14:21 AM"
231," Monday, January 4, 2016 7:26 AM"
232," Monday, January 4, 2016 7:26:51 AM"
233," Friday, October 21, 2016 3:36:06 PM"
234," Friday, October 21, 2016 2:51 PM"
235," Friday, October 21, 2016 2:51:23 PM"
236," Tuesday, April 5, 2016 3:29:06 PM"
237," Tuesday, April 5, 2016 2:47 PM"
238," Apr 5, 2016, 2:44 PM"
239," Tuesday, April 5, 2016 2:14 PM"
240," Tuesday, April 5, 2016 3:28:00 PM"
241," Tuesday, April 5, 2016 2:44:24 PM"
242," Tuesday, April 5, 2016 2:43:00 PM"
243," Tuesday, April 5, 2016 2:13:50 PM"
244," Thursday, May 26, 2016 9:13:44 AM"
245," Tuesday, April 26, 2016 12:28:41 PM"
246," Tuesday, April 26, 2016 11:25 AM"
247," Tuesday, April 26, 2016 11:25:39 AM"
248," Sunday, September 25, 2016 8:39:09 AM"
249," Friday, September 23, 2016 3:18 PM"
250," Friday, September 23, 2016 1:03 PM"
251," Friday, September 23, 2016 12:57 PM"
252," Friday, September 23, 2016 1:43:00 PM"
253," Friday, September 23, 2016 1:02:42 PM"
254," Friday, July 22, 2016 9:27:58 AM"
255," Friday, December 9, 2016 3:17:35 PM"
256," Friday, December 09, 2016 2:44 PM"
257," Friday, December 09, 2016 12:54 PM"
258," Friday, December 09, 2016 12:46 PM"
259," Friday, December 9, 2016 3:17:32 PM"
260," Friday, December 9, 2016 12:53:59 PM"
261," Friday, December 9, 2016 12:53:57 PM"
262," Friday, December 9, 2016 12:46:53 PM"
263," Friday, December 9, 2016 12:46:10 PM"
264," Friday, August 12, 2016 8:37:00 AM"
265," Thursday, August 11, 2016 2:33 PM"
266," Thursday, August 11, 2016 2:49:55 PM"
267," Thursday, August 11, 2016 2:33:13 PM"
268," Wednesday, June 1, 2016 12:56:26 PM"
269," Wednesday, June 1, 2016 12:51 PM"
270," Wednesday, June 1, 2016 12:56:21 PM"
271," Wednesday, June 1, 2016 12:53:30 PM"
272," Wednesday, June 1, 2016 12:53:11 PM"
273," Wednesday, June 1, 2016 12:51:36 PM"
274," Wednesday, June 1, 2016 12:51:33 PM"
275," Monday, May 2, 2016 9:47:22 AM"
276," Friday, April 29, 2016 6:55 PM"
277," Friday, April 29, 2016 6:55:31 PM"
278," Friday, April 29, 2016 6:55:20 PM"
279," Friday, April 29, 2016 6:54:37 PM"
280," Friday, April 29, 2016 1:53:58 PM"
281," Friday, April 29, 2016 1:19 PM"
282," Friday, April 29, 2016 1:18 PM"
283," Friday, April 29, 2016 12:33 PM"
284," Friday, April 29, 2016 1:17:38 PM"
285," Friday, April 29, 2016 12:33:48 PM"
286," Friday, March 25, 2016 11:13:47 AM"
287," Friday, March 25, 2016 10:38 AM"
288," Friday, March 25, 2016 10:57:01 AM"
289," Friday, March 25, 2016 10:38:05 AM"
290," Monday, April 25, 2016 11:58:44 AM"
291," Monday, April 25, 2016 11:58 AM"
292," Friday, April 22, 2016 3:53 PM"
293," Monday, April 25, 2016 11:57:38 AM"
294," Friday, April 22, 2016 3:55:12 PM"
295," Friday, April 22, 2016 3:52:53 PM"
296," Thursday, December 8, 2016 12:26:22 PM"
297," Thursday, December 8, 2016 11:55 AM"
298," Thu, Dec 8, 2016 at 11:50 AM"
299," Thursday, December 8, 2016 12:26:00 PM"
300," Thursday, December 8, 2016 11:54:48 AM"
301," Thu, Dec 8, 2016 at 11:50 AM"
302," Thursday, December 8, 2016 11:54:46 AM"
303," Monday, August 1, 2016 9:54:07 AM"
304," Monday, August 1, 2016 9:41 AM"
305," Friday, July 29, 2016 6:19 PM"
306," Monday, August 1, 2016 9:42:12 AM"
307," Monday, August 1, 2016 9:41:59 AM"
308," Monday, August 1, 2016 9:36:13 AM"
309," Monday, August 1, 2016 9:35:50 AM"
310," Thursday, October 27, 2016 1:38:03 PM"
311," Thursday, October 27, 2016 11:27 AM"
312," Thursday, October 27, 2016 11:28:35 AM"
313," Thursday, October 27, 2016 11:28:30 AM"
314," Tuesday, February 23, 2016 10:41:27 AM"
315," Thursday, July 31, 2014 11:14 AM"
316," Thursday, July 31, 2014 9:49 AM"
317," Wednesday, July 30, 2014 2:54 PM"
318," Thursday, September 8, 2016 9:58:25 AM"
319," Thursday, September 8, 2016 9:37 AM"
320," Sep 8, 2016, 9:13 AM"
321," Wednesday, September 7, 2016 5:04 PM"
322," Thursday, September 8, 2016 9:58:22 AM"
323," Thursday, September 8, 2016 9:14:00 AM"
324," Thursday, September 8, 2016 9:13:59 AM"
325," Thursday, September 8, 2016 7:55:08 AM"
326," Thursday, September 8, 2016 7:55:05 AM"
327," Wednesday, September 7, 2016 5:03:37 PM"
328," Wednesday, September 7, 2016 5:03:35 PM"
329," Friday, January 15, 2016 3:18:01 PM"
330," Friday, January 15, 2016 3:17:58 PM"
331," Thursday, November 10, 2016 12:35:13 PM"
332," Thursday, November 10, 2016 11:50 AM"
333," Thursday, November 10, 2016 12:22:47 PM"
334," Thursday, November 10, 2016 11:49:39 AM"
335," Wednesday, November 9, 2016 10:25:23 AM"
336," Tuesday, August 16, 2016 10:53 AM"
337," Tuesday, August 16, 2016 8:12 AM"
338," Monday, August 15, 2016 3:00 PM"
339," Monday, August 15, 2016 2:34 PM"
340," Wednesday, November 2, 2016 4:10:09 PM"
341," Wednesday, November 02, 2016 3:24 PM"
342," Friday, October 28, 2016 4:45 PM"
343," Tuesday, November 1, 2016 1:03:59 PM"
344," Tuesday, November 01, 2016 12:05 PM"
345," Tuesday, November 1, 2016 12:05:39 PM"
346," Monday, October 31, 2016 10:06:18 AM"
347," Friday, October 28, 2016 4:45:43 PM"
348," Tuesday, October 4, 2016 10:29:51 AM"
349," Monday, October 03, 2016 1:42 PM"
350," Monday, October 3, 2016 2:23:12 PM"
351," Monday, October 3, 2016 1:57 PM"
352," Monday, October 3, 2016 1:42 PM"
353," Monday, October 3, 2016 1:57:20 PM"
354," Monday, October 3, 2016 1:42:22 PM"
355," Thursday, September 22, 2016 10:48:00 AM"
356," Wednesday, September 21, 2016 5:49 PM"
357," Wednesday, September 21, 2016 3:11 PM"
358," Wednesday, September 21, 2016 3:10 PM"
359," Wednesday, September 21, 2016 3:11:08 PM"
360," Wednesday, September 21, 2016 3:10:00 PM"
361," Wednesday, September 21, 2016 3:09:37 PM"
362," Wednesday, September 21, 2016 3:09:33 PM"
363," Thursday, August 25, 2016 12:34:35 PM"
364," Thursday, August 25, 2016 11:21 AM"
365," Wednesday, August 24, 2016 12:50 PM"
366," Wednesday, August 24, 2016 1:11:12 PM"
367," Wednesday, August 24, 2016 12:57:11 PM"
368," Tuesday, August 16, 2016 10:52:00 AM"
369," Monday, August 15, 2016 2:59:05 PM"
370," Monday, August 15, 2016 2:34:51 PM"
371," Friday, July 8, 2016 10:50:48 AM"
372," Friday, July 8, 2016 10:39 AM"
373," Thursday, July 7, 2016 4:12 PM"
374," Thursday, July 7, 2016 3:45 PM"
375," Thursday, July 7, 2016 4:12:17 PM"
376," Thursday, June 9, 2016 9:28:37 AM"
377," Wednesday, June 8, 2016 3:57 PM"
378," Wednesday, June 8, 2016 4:28:27 PM"
379," Thursday, June 2, 2016 11:09:55 AM"
380," Thursday, June 2, 2016 6:30 AM"
381," Wednesday, June 01, 2016 4:00 PM"
382," Wednesday, June 1, 2016 3:04 PM"
383," Thursday, June 2, 2016 11:08:40 AM"
384," Thursday, June 2, 2016 8:51:28 AM"
385," Wednesday, June 1, 2016 9:54 PM"
386," Wednesday, June 1, 2016 9:53:48 PM"
387," Wednesday, June 1, 2016 4:00:40 PM"
388," Wednesday, June 1, 2016 3:04:11 PM"
389," Wednesday, April 6, 2016 4:09:18 PM"
390," Wednesday, April 6, 2016 3:31 PM"
391," Wednesday, April 6, 2016 3:30:52 PM"
392," Tuesday, March 22, 2016 3:44:57 PM"
393," Tuesday, March 22, 2016 3:17 PM"
394," Tuesday, March 22, 2016 3:18:09 PM"
395," Thursday, January 21, 2016 3:25:26 PM"
396," Thursday, January 21, 2016 1:27 PM"
397," Thursday, January 21, 2016 12:18 PM"
398," Thursday, January 21, 2016 3:25:24 PM"
399," Thursday, January 21, 2016 1:05:31 PM"
400," Thursday, January 21, 2016 1:05:28 PM"
401," Thursday, January 21, 2016 12:18:37 PM"
402," Thursday, January 21, 2016 12:18:35 PM"
403," Monday, January 11, 2016 3:50:12 PM"
404," Monday, January 11, 2016 1:16 PM"
405," Monday, January 11, 2016 1:15:51 PM"
406," Thursday, December 15, 2016 2:18:44 PM"
407," Thursday, December 15, 2016 12:49 PM"
408," Thursday, December 15, 2016 2:18:43 PM"
409," Thursday, December 15, 2016 1:18:34 PM"
410," Thursday, December 15, 2016 12:48:56 PM"
411," Thursday, June 16, 2016 10:00:40 AM"
412," Wednesday, June 15, 2016 5:52 PM"
413," Wednesday, June 15, 2016 3:35 PM"
414," Wednesday, June 15, 2016 3:11 PM"
415," Wednesday, June 15, 2016 1:48 PM"
416," Wednesday, June 15, 2016 1:44 PM"
417," Wednesday, June 15, 2016 1:13 PM"
418," Thursday, June 16, 2016 10:00:00 AM"
419," Tuesday, February 16, 2016 10:08:07 AM"
420," Monday, February 15, 2016 3:57 PM"
421," Tuesday, February 16, 2016 10:08:02 AM"
422," Wednesday, November 16, 2016 10:42:18 AM"
423," Tuesday, November 15, 2016 6:40 PM"
424," Wednesday, November 16, 2016 10:42:15 AM"
425," Wednesday, November 16, 2016 8:26:42 AM"
426," Wednesday, November 16, 2016 8:26:38 AM"
427," Tuesday, November 15, 2016 6:39:46 PM"
428," Tuesday, November 15, 2016 6:39:44 PM"
429," Monday, October 31, 2016 3:17:32 PM"
430," Monday, October 31, 2016 1:04 PM"
431," Monday, October 31, 2016 1:04:03 PM"
432," Monday, December 19, 2016 3:27:52 PM"
433," Monday, December 19, 2016 12:08 PM"
434," Friday, June 10, 2016 9:11 AM"
435," Friday, June 10, 2016 6:03 AM"
436," Thursday, June 09, 2016 1:06 PM"
437," Thursday, June 9, 2016 12:38 PM"
438," Monday, December 19, 2016 3:27:50 PM"
439," Friday, June 10, 2016 9:11:03 AM"
440," Friday, June 10, 2016 9:10:50 AM"
441," Thursday, June 9, 2016 1:06:04 PM"
442," Thursday, June 9, 2016 1:06:03 PM"
443," Thursday, June 9, 2016 12:38:34 PM"
444," Thursday, June 9, 2016 12:38:31 PM"
445," Thursday, November 3, 2016 10:20:40 AM"
446," Thursday, January 7, 2016 4:15:23 PM"
447," Thursday, January 7, 2016 2:44 PM"
448," Thursday, January 7, 2016 3:11:37 PM"
449," Thursday, January 7, 2016 2:44:19 PM"
450," Monday, March 7, 2016 3:24:41 PM"
451," Monday, March 7, 2016 3:24:18 PM"
452," Thursday, December 1, 2016 3:33:18 PM"
453," Thursday, December 1, 2016 2:13 PM"
454," Thursday, December 1, 2016 3:33:16 PM"
455," Thursday, December 1, 2016 2:13:28 PM"
456," Thursday, December 1, 2016 2:13:00 PM"
457," Wednesday, August 24, 2016 3:39:37 PM"
458," Wednesday, August 24, 2016 2:44 PM"
459," Wednesday, August 24, 2016 3:14:49 PM"
460," Wednesday, August 24, 2016 2:57:05 PM"
461," Wednesday, August 24, 2016 2:47:24 PM"
462," Monday, June 6, 2016 11:24:55 AM"
463," Monday, June 6, 2016 7:44 AM"
464," Monday, June 06, 2016 7:42 AM"
465," Monday, June 6, 2016 7:44:10 AM"
466," Monday, October 17, 2016 1:42:49 PM"
467," Monday, October 17, 2016 12:00:33 PM"
468," Monday, December 19, 2016 4:42:02 PM"
469," Monday, December 19, 2016 4:41:59 PM"
470," Wednesday, June 15, 2016 2:16:14 PM"
471," Wednesday, June 15, 2016 2:16:00 PM"
472," Wednesday, June 15, 2016 1:13:33 PM"
473," Wednesday, June 15, 2016 1:13:28 PM"
474," Friday, March 4, 2016 11:37:15 AM"
475," Friday, March 4, 2016 11:24 AM"
476," Friday, March 04, 2016 11:19 AM"
477," Friday, March 4, 2016 10:43 AM"
478," Friday, March 4, 2016 11:35:00 AM"
479," Friday, March 4, 2016 11:20:03 AM"
480," Friday, March 4, 2016 11:19:00 AM"
481," Friday, March 4, 2016 11:14:19 AM"
482," Friday, March 4, 2016 11:03 AM"
483," Friday, March 04, 2016 11:00 AM"
484," Friday, March 4, 2016 11:13:46 AM"
485," Friday, March 4, 2016 10:59:41 AM"
486," Friday, March 4, 2016 10:59:38 AM"
487," Friday, March 4, 2016 10:43:49 AM"
488," Friday, March 4, 2016 10:42:58 AM"
489," Thursday, August 25, 2016 9:32:03 AM"
490," Thursday, August 25, 2016 8:34 AM"
491," Thu, Aug 25, 2016 at 8:32 AM"
492," Monday, March 7, 2016 2:07:21 PM"
493," Monday, March 7, 2016 1:20 PM"
494," Monday, March 07, 2016 1:11 PM"
495," Mon, Mar 7, 2016 at 1:08 PM"
496," Monday, March 7, 2016 2:07:19 PM"
497," Monday, March 7, 2016 2:05:31 PM"
498," Monday, March 7, 2016 2:05:25 PM"
499," Monday, March 7, 2016 1:19:45 PM"
500," Monday, March 7, 2016 1:19:36 PM"
501," Friday, October 7, 2016 11:59:05 AM"
502," Friday, October 07, 2016 11:36 AM"
503," Friday, October 07, 2016 11:15 AM"
504," Friday, October 07, 2016 11:05 AM"
505," Friday, October 7, 2016 11:35:48 AM"
506," Friday, October 7, 2016 11:34:08 AM"
507," Friday, October 7, 2016 11:15:58 AM"
508," Friday, October 7, 2016 11:05 AM"
509," Friday, October 7, 2016 11:15:29 AM"
510," Friday, October 7, 2016 11:15:00 AM"
511," Friday, October 7, 2016 11:14:04 AM"
512," Friday, October 7, 2016 11:05:15 AM"
513," Monday, March 7, 2016 12:10:31 PM"
514," Monday, March 7, 2016 10:33 AM"
515," Monday, March 7, 2016 12:10:26 PM"
516," Monday, March 7, 2016 10:48:55 AM"
517," Monday, March 7, 2016 10:48:52 AM"
518," Monday, March 7, 2016 10:33:08 AM"
519," Monday, March 7, 2016 10:33:05 AM"
520," Thursday, May 19, 2016 4:00:37 PM"
521," Thursday, May 19, 2016 3:09 PM"
522," Thursday, May 19, 2016 2:59 PM"
523," Thursday, May 19, 2016 2:58:18 PM (UTC-05:00) Eastern Time (US & Canada)"
524," Thursday, May 19, 2016 4:00:35 PM"
525," Friday, May 6, 2016 8:29:03 AM"
526," Thursday, May 5, 2016 5:17 PM"
527," Friday, May 6, 2016 8:29:01 AM"
528," Thursday, May 5, 2016 5:16:46 PM"
529," Thursday, May 5, 2016 5:16:44 PM"
530," Thursday, February 25, 2016 11:26:44 AM"
531," Thursday, February 25, 2016 10:48 AM"
532," Thursday, February 25, 2016 10:48:20 AM"
533," Tuesday, January 19, 2016 9:52:15 AM"
534," Saturday, January 16, 2016 11:48 AM"
535," Tuesday, January 19, 2016 9:52:01 AM"
536," Saturday, January 16, 2016 11:48:05 AM"
537," Saturday, January 16, 2016 11:48:02 AM"
538," Saturday, January 9, 2016 11:07:04 AM"
539," Saturday, January 9, 2016 11:03:55 AM"
540," Tuesday, August 2, 2016 9:47:09 AM"
541," Tuesday, August 2, 2016 8:28 AM"
542," Tuesday, August 2, 2016 9:47:00 AM"
543," Tuesday, August 2, 2016 8:27:42 AM"
544," Tuesday, August 2, 2016 8:27:40 AM"
545," Monday, January 11, 2016 11:33:16 AM"
546," Monday, January 11, 2016 11:18 AM"
547," Monday, January 11, 2016 11:18:13 AM"
548," Monday, January 11, 2016 3:56:23 PM"
549," Monday, January 11, 2016 2:23 PM"
550," Monday, January 11, 2016 2:23:13 PM"
551," Monday, October 17, 2016 4:31:47 PM"
552," Monday, October 17, 2016 3:58 PM"
553," Monday, October 17, 2016 3:58:25 PM"
554," Tuesday, March 8, 2016 3:29:48 PM"
555," Tuesday, March 8, 2016 2:15 PM"
556," Tuesday, March 08, 2016 11:01 AM"
557," Tuesday, March 8, 2016 3:29:46 PM"
558," Tuesday, March 8, 2016 2:15:01 PM"
559," Tuesday, March 08, 2016 11:01 AM"
560," Tuesday, March 8, 2016 2:14:58 PM"
561," Tuesday, August 16, 2016 11:02:24 AM"
562," Thursday, May 19, 2016 3:09:13 PM"
563," Thursday, May 19, 2016 2:25 PM"
564," Thursday, May 19, 2016 1:42 PM"
565," Thursday, May 19, 2016 1:12 PM"
566," Thursday, May 19, 2016 1:09:40 PM (UTC-05:00) Eastern Time (US & Canada)"
567," May 19, 2016 at 1:02:04 PM EDT"
568," Wednesday, May 18, 2016 2:59 PM"
569," Thursday, May 19, 2016 3:08:18 PM"
